epoch;acc;loss;val_acc;val_loss
0;0.252777777778;1.40819934474;0.4;1.33743097782
1;0.372222222222;1.33600544532;0.325;1.34543375969
2;0.416666666667;1.28503055837;0.4;1.23209927082
3;0.444444444444;1.26790528827;0.675;1.12209317088
4;0.483333333333;1.20585290922;0.6;1.15978195667
5;0.505555555556;1.19127011564;0.625;1.09469497204
6;0.452777777778;1.23587197198;0.6;1.17184687257
7;0.502777777778;1.13075165947;0.675;0.917513000965
8;0.516666666667;1.12904325128;0.575;1.08573948741
9;0.522222222222;1.11890828411;0.65;0.984059530497
10;0.55;1.11092086699;0.575;1.02962563038
11;0.55;1.06998476916;0.725;0.811173963547
12;0.563888888889;1.04973019097;0.575;0.968543928862
13;0.563888888889;1.07819666862;0.525;1.06997521222
14;0.575;1.00815083947;0.625;1.0838588357
15;0.55;1.05723728703;0.65;1.00343646407
16;0.563888888889;1.04419818819;0.7;0.829026731849
17;0.580555555556;1.01736835837;0.6;0.942342489958
18;0.605555555556;0.985299602482;0.675;0.893652129173
19;0.580555555556;1.0068005292;0.675;0.830413217843
20;0.630555555556;0.94936603672;0.75;0.765659603477
21;0.622222222222;0.936583233542;0.775;0.819854494929
22;0.569444444444;1.00452089906;0.625;0.920188528299
23;0.638888888889;0.914517871539;0.7;0.85840652585
24;0.630555555556;0.919928391443;0.725;0.728621122241
